#' @name Skye_SKP210.spct
#'
#' @title Skye PAR 'Special' Sensor SKP210
#'
#' @note
#' Spectral data digitized from figure in manufacturer's manual.
#' This is typical measured data, and for specific sensor units the
#' calibration data supplied with the sensor must be used as individual
#' may differ in their spectral response. Furthermore, the digigitizing
#' process from figures with a linear scale is prone to errors, which
#' are specially noticeable in regions of low responsivity.
#'
#' Manufacturer: Skye Instruments, Llandrindod Wells, Powys, UK
#' \url{http://www.skyeinstruments.com/}
#'
#' @references
#' Manufacturer's brochure dated 2007-10-03
#'
#' KJ McCree. The action spectrum, absorbance and quantum yield of
#' photosynthesis in crop plants. Agricultural Meteorology. 1971/72
#' Vol 9, pp 191-216
#'
w.length,s.q.response
7.057334372820E2,7.610577227165E1
7.056798059431E2,7.641648924355E1
7.056326254349E2,7.661577825867E1
7.055100759200E2,7.694605804434E1
7.053786762242E2,7.725894866221E1
7.053250448853E2,7.756966563411E1
7.052688735791E2,7.776895464923E1
7.050231033561E2,7.821992898768E1
7.049789611765E2,7.841212505277E1
7.049702838274E2,7.872284202467E1
7.049141125212E2,7.892213103979E1
7.046683422983E2,7.937310537824E1
7.046242001186E2,7.956530144333E1
7.046155227696E2,7.987601841523E1
7.045593514634E2,8.007530743035E1
7.043135812404E2,8.052628176880E1
7.042599499015E2,8.083699874070E1
7.042127693933E2,8.103628775581E1
7.040902198784E2,8.136656754148E1
7.039588201826E2,8.167945815936E1
7.039051888437E2,8.199017513126E1
7.038580083355E2,8.218946414637E1
7.037354588205E2,8.251974393204E1
7.036040591247E2,8.283263454992E1
7.035504277858E2,8.314335152182E1
7.034942564796E2,8.334264053693E1
7.032484862567E2,8.379361487538E1
7.032043440770E2,8.398581094048E1
7.031956667280E2,8.429652791238E1
7.031394954218E2,8.449581692749E1
7.028937251988E2,8.494679126594E1
7.028495830192E2,8.513898733104E1
7.028409056701E2,8.544970430294E1
7.027847343639E2,8.564899331805E1
7.025389641410E2,8.609996765650E1
7.024853328021E2,8.641068462840E1
7.024381522939E2,8.660997364352E1
7.023156027789E2,8.694025342919E1
7.021842030831E2,8.725314404706E1
7.021305717442E2,8.756386101896E1
7.020833912360E2,8.776315003408E1
7.019608417211E2,8.809342981975E1
7.018294420253E2,8.840632043762E1
7.017758106864E2,8.871703740952E1
7.017286301782E2,8.891632642464E1
7.016060806632E2,8.924660621031E1
7.014746809675E2,8.955949682818E1
7.014210496285E2,8.987021380008E1
7.013648783223E2,9.006950281520E1
7.011191080994E2,9.052047715365E1
7.010749659197E2,9.071267321874E1
7.010662885707E2,9.102339019064E1
7.010101172645E2,9.122267920576E1
7.007643470416E2,9.167365354421E1
7.007202048619E2,9.186584960930E1
7.007115275128E2,9.217656658120E1
7.006553562066E2,9.237585559632E1
7.003482707565E2,9.294437842101E1
6.997021484806E2,9.334610251778E1
6.994183190169E2,9.342753797353E1
6.987714915212E2,9.355671737244E1
6.984761784868E2,9.361391858229E1
6.976934075742E2,9.374891343753E1
6.973980945398E2,9.380611464738E1
6.966153236273E2,9.394110950263E1
6.963200105929E2,9.399831071248E1
6.955372396803E2,9.413330556772E1
6.952419266459E2,9.419050677757E1
6.946892048652E2,9.430834126986E1
6.941851947569E2,9.442045564116E1
6.938350895272E2,9.449664765268E1
6.935389318236E2,9.455659452061E1
6.926626197585E2,9.470989376300E1
6.923673067241E2,9.476709497285E1
6.916102463560E2,9.490742860768E1
6.907723638395E2,9.517162192890E1
6.900904973913E2,9.551116831057E1
6.898511757441E2,9.561367287862E1
6.895161687344E2,9.576742973069E1
6.888550913925E2,9.606213036384E1
6.882598112673E2,9.632479831946E1
6.875779448191E2,9.666434470113E1
6.873386231719E2,9.676684926918E1
6.870036161622E2,9.692060612125E1
6.863425388203E2,9.721530675440E1
6.857472586951E2,9.747797471002E1
6.850653922470E2,9.781752109169E1
6.848260705997E2,9.792002565974E1
6.844910635901E2,9.807378251181E1
6.838299862481E2,9.836848314496E1
6.832347061230E2,9.863115110058E1
6.825528396748E2,9.897069748225E1
6.823135180275E2,9.907320205030E1
6.819785110179E2,9.922695890237E1
6.813045123636E2,9.950335514836E1
6.810032326853E2,9.958389445183E1
6.802394512052E2,9.973788010874E1
6.795352058559E2,9.974588827812E1
6.791755739368E2,9.974588827812E1
6.788159420177E2,9.974588827812E1
6.784563100987E2,9.974588827812E1
6.780966781796E2,9.974588827812E1
6.777370462606E2,9.974588827812E1
6.773774143415E2,9.974588827812E1
6.770177824225E2,9.974588827812E1
6.766581505034E2,9.974588827812E1
6.762985185844E2,9.974588827812E1
6.759388866653E2,9.974588827812E1
6.755792547462E2,9.974588827812E1
6.752196228272E2,9.974588827812E1
6.748599909081E2,9.974588827812E1
6.745003589891E2,9.974588827812E1
6.741407270700E2,9.974588827812E1
6.737810951510E2,9.974588827812E1
6.734214632319E2,9.974588827812E1
6.730618313129E2,9.974588827812E1
6.727021993938E2,9.974588827812E1
6.723425674748E2,9.974588827812E1
6.719829355557E2,9.974588827812E1
6.715113910904E2,9.973948174262E1
6.709756414583E2,9.966900985209E1
6.703349550490E2,9.962187605517E1
6.692429047451E2,9.954835343344E1
6.688698719980E2,9.951788425566E1
6.684339063389E2,9.944750388707E1
6.678133725380E2,9.934673823580E1
6.667559978585E2,9.920489194675E1
6.663740127563E2,9.914973726908E1
6.659148795803E2,9.906791665851E1
6.652943254842E2,9.896234610561E1
6.642369508047E2,9.882049981656E1
6.638549657025E2,9.876534513889E1
6.633958325266E2,9.868352452832E1
6.627752784304E2,9.857795397542E1
6.616454402945E2,9.842720972040E1
6.613440444822E2,9.837889376515E1
6.606909198199E2,9.822509877893E1
6.604148412107E2,9.813967830556E1
6.599276555467E2,9.794405016787E1
6.593512229484E2,9.770220345263E1
6.589564193524E2,9.753483271261E1
6.586046371870E2,9.738294443339E1
6.581261472344E2,9.715124139936E1
6.577657035051E2,9.695904533427E1
6.574053612521E2,9.679087377731E1
6.568289286538E2,9.654902706207E1
6.562682119922E2,9.631137510222E1
6.556759416856E2,9.603650422182E1
6.551353572728E2,9.576742973069E1
6.547990513668E2,9.561367287862E1
6.543426381416E2,9.540546047477E1
6.537421556661E2,9.514599578689E1
6.529735067074E2,9.480644940523E1
6.526372008015E2,9.465269255315E1
6.521807875763E2,9.444448014930E1
6.517021114228E2,9.423626774545E1
6.512995337776E2,9.410356093860E1
6.509802729866E2,9.403217382871E1
6.506547003712E2,9.398687047051E1
6.502558382074E2,9.394825965386E1
6.495976023623E2,9.384295222653E1
6.493009585390E2,9.378781026023E1
6.490043147157E2,9.373266829394E1
6.486279372784E2,9.367054778004E1
6.481356533174E2,9.360247834032E1
6.477367911536E2,9.356386752367E1
6.470785553085E2,9.345856009634E1
6.467819114852E2,9.340341813005E1
6.464852676619E2,9.334827616375E1
6.461088902246E2,9.328615564986E1
6.456166062637E2,9.321808621013E1
6.452177440999E2,9.317947539349E1
6.445595082547E2,9.307416796615E1
6.442628644314E2,9.301902599986E1
6.439662206081E2,9.296388403356E1
6.435898431708E2,9.290176351967E1
6.430975592099E2,9.283369407995E1
6.426986970461E2,9.279508326330E1
6.420404612009E2,9.268977583597E1
6.417438173776E2,9.263463386967E1
6.414471735543E2,9.257949190338E1
6.410172057552E2,9.250329989186E1
6.406641436357E2,9.245044597396E1
6.397410545513E2,9.244243780458E1
6.393850250401E2,9.240840308472E1
6.388456089574E2,9.230950219289E1
6.385055403111E2,9.225824990887E1
6.377862426476E2,9.225024173949E1
6.372228193078E2,9.225024173949E1
6.368667897965E2,9.221620701963E1
6.363273737138E2,9.211730612780E1
6.359873050676E2,9.206605384377E1
6.352680074040E2,9.205804567439E1
6.347045840642E2,9.205804567439E1
6.343485545529E2,9.202401095453E1
6.338091384702E2,9.192511006270E1
6.334690698240E2,9.187385777868E1
6.327497721604E2,9.186584960930E1
6.321863488206E2,9.186584960930E1
6.318303193093E2,9.183181488944E1
6.312909032266E2,9.173291399761E1
6.305911688359E2,9.167365354421E1
6.301475777018E2,9.166297598503E1
6.294484731728E2,9.153659944541E1
6.291518293495E2,9.148145747911E1
